"","O*NET-SOC Code","Title","occnumber","freq1","freq2","freq3","freq4","freq5","freq6","freq7"
"1","11-1011.00","Chief Executives","Ind1",0.000357677165413889,0.997923927657903,0.000478619818206926,0.000204288447901666,0.000250754405648417,0.000408722857653823,0.000376009647272382
"2","11-1011.03","Chief Sustainability Officers","Ind2",0.16195330164528,0.836328303218504,0.000478619780039609,0.000204288447901666,0.000250754405648427,0.000408722855232743,0.000376009647394015
"3","11-1021.00","General and Operations Managers","Ind3",0.000357677165182219,0.325907673927693,0.000478620011035776,0.672220541979688,0.000250754405648481,0.000408722861438392,0.00037600964931387
"4","11-2011.00","Advertising and Promotions Managers","Ind4",0.000357677164766865,0.85878318979869,0.000478619912074521,0.000204288447901666,0.139391492164566,0.000408722863598822,0.000376009648402077
"5","11-2021.00","Marketing Managers","Ind5",0.000357677164752041,0.997923927563678,0.000478619911109505,0.000204288447901666,0.000250754405648467,0.000408722859562852,0.00037600964734707
"6","11-2022.00","Sales Managers","Ind6",0.101703224981604,0.896578379655111,0.0004786200029758,0.000204288447901666,0.00025075440564856,0.000408722855232317,0.000376009651525896
"7","11-2031.00","Public Relations and Fundraising Managers","Ind7",0.000357677164544737,0.997923927512439,0.000478619968895147,0.000204288447901666,0.00025075440564849,0.000408722854157229,0.000376009646413553
"8","11-3011.00","Administrative Services Managers","Ind8",0.000357677164964163,0.271002232800075,0.000478620000772108,0.727125983121435,0.000250754405648489,0.000408722858592496,0.000376009648512058
"9","11-3021.00","Computer and Information Systems Managers","Ind9",0.513945092375988,0.484336512204995,0.000478620060667313,0.000204288447901666,0.000250754405648499,0.000408722857408183,0.000376009647391122
"10","11-3031.01","Treasurers and Controllers","Ind10",0.00035767716485911,0.997923927739748,0.000478619744444786,0.000204288447901666,0.000250754405648419,0.000408722851386141,0.000376009646012261
"11","11-3031.02","Financial Managers, Branch or Department","Ind11",0.00035767716481614,0.870494757159654,0.000478619867457138,0.000204288447901666,0.127679924845773,0.000408722864727985,0.000376009649670322
"12","11-3051.00","Industrial Production Managers","Ind12",0.870727447923008,0.000400495644956889,0.127632281069671,0.000204288447901666,0.000250754405648451,0.000408722861919623,0.000376009646893661
"13","11-3051.01","Quality Control Systems Managers","Ind13",0.767019261940887,0.000400495641475631,0.23134046705762,0.000204288447901666,0.000250754405648427,0.000408722859735549,0.000376009646732023
"14","11-3051.02","Geothermal Production Managers","Ind14",0.695159123702841,0.000400495642569024,0.303200605289512,0.000204288447901666,0.000250754405648433,0.000408722864003387,0.000376009647524451
"15","11-3051.03","Biofuels Production Managers","Ind15",0.705278690884014,0.000400495643593571,0.29308103811258,0.000204288447901666,0.000250754405648449,0.000408722859120699,0.000376009647142195
"16","11-3051.04","Biomass Power Plant Managers","Ind16",0.645840615306029,0.000400495642161674,0.352519113685824,0.000204288447901666,0.00025075440564845,0.000408722864090572,0.000376009648345027
"17","11-3051.06","Hydroelectric Production Managers","Ind17",0.655018073598397,0.000400495642793636,0.343341655394322,0.000204288447901666,0.000250754405648412,0.000408722864118812,0.000376009646818578
"18","11-3061.00","Purchasing Managers","Ind18",0.000357677164713214,0.9979239274395,0.000478620042908335,0.000204288447901666,0.000250754405648513,0.00040872285294882,0.000376009646379321
"19","11-3071.01","Transportation Managers","Ind19",0.117361610189323,0.880919994282137,0.000478620162515725,0.000204288447901666,0.000250754405648506,0.000408722864225361,0.000376009648248592
"20","11-3071.02","Storage and Distribution Managers","Ind20",0.481805757103549,0.18055797600227,0.33639649152498,0.000204288447901666,0.000250754405648516,0.000408722864864094,0.000376009650786534
"21","11-3071.03","Logistics Managers","Ind21",0.215676971226447,0.782604633390931,0.000478620023523285,0.000204288447901666,0.000250754405648495,0.000408722857290022,0.000376009648257961
"22","11-3111.00","Compensation and Benefits Managers","Ind22",0.00035767716453411,0.997923927370658,0.000478620102928593,0.000204288447901666,0.000250754405648557,0.000408722859661245,0.000376009648667677
"23","11-3121.00","Human Resources Managers","Ind23",0.000357677165027248,0.997923927654357,0.000478619826004758,0.000204288447901666,0.000250754405648478,0.000408722852727001,0.000376009648333642
"24","11-3131.00","Training and Development Managers","Ind24",0.000357677164788365,0.997923927639217,0.00047861984448731,0.000204288447901666,0.000250754405648438,0.000408722852073533,0.00037600964588345
"25","11-9013.01","Nursery and Greenhouse Managers","Ind25",0.141182702870887,0.000400495643189582,0.322898996973686,0.534482317585742,0.000250754405648461,0.000408722871057599,0.000376009649788463
"26","11-9013.02","Farm and Ranch Managers","Ind26",0.287733726593266,0.000400495643064631,0.503370988817827,0.000204288447901666,0.00025075440564846,0.20766373644286,0.000376009649431636
"27","11-9013.03","Aquacultural Managers","Ind27",0.43272336879095,0.000400495643359709,0.565636360197832,0.000204288447901666,0.000250754405648449,0.000408722865624871,0.000376009648682825
"28","11-9021.00","Construction Managers","Ind28",0.470275453504785,0.409578150582406,0.118906620555826,0.000204288447901666,0.00025075440564846,0.000408722856980779,0.000376009646452421
"29","11-9031.00","Education Administrators, Preschool and Childcare Center/Program","Ind29",0.00035767716526505,0.887043163628294,0.00047862010450053,0.000204288447901666,0.000250754405648501,0.000408722861483903,0.111256773386906
"30","11-9032.00","Education Administrators, Elementary and Secondary School","Ind30",0.300018992408048,0.698262612343273,0.000478619892971649,0.000204288447901666,0.000250754405648432,0.000408722854687759,0.00037600964746874
"31","11-9033.00","Education Administrators, Postsecondary","Ind31",0.000357677164796984,0.997923927706377,0.000478619774257843,0.000204288447901666,0.000250754405648433,0.000408722854128462,0.00037600964688979
"32","11-9039.01","Distance Learning Coordinators","Ind32",0.000357677165722287,0.997923927152281,0.000478620304747384,0.000204288447901666,0.000250754405648455,0.000408722876623837,0.000376009647075678
"33","11-9039.02","Fitness and Wellness Coordinators","Ind33",0.000357677164879113,0.261153362261115,0.000478620046025845,0.736974853600747,0.000250754405648474,0.000408722871915122,0.000376009649669886
"34","11-9041.00","Architectural and Engineering Managers","Ind34",0.681950666544555,0.316330938288811,0.000478619813372374,0.000204288447901666,0.000250754405648427,0.000408722853579248,0.000376009646132015
